Address,Price,Beds,Baths,SqFt,Latitude,Longitude,Property Type,Year Built,Amenities,Cluster_ID,Neighborhood,Listing ID,Address 2,City,State,Zip,Formatted Address
1000 Hunter Ave,1695,3.0,1.0,864.0,42.254823,-83.581674,Single Family,,,7,West Willow,,,Ypsilanti,MI,,
4838 E Sycamore Dr,2950,4.0,2.5,2602.0,42.207742,-83.661982,Single Family,1999.0,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
811 Washtenaw Rd,1100,1.0,1.0,,42.244928,-83.624116,Apartment,1890.0,,0,Midtown,,,Ypsilanti,MI,,
304 Perrin St,1400,3.0,1.5,,42.245177,-83.620324,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
813 E Michigan Ave,1045,,1.0,570.0,42.24258,-83.597137,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
532 Villa Dr,1350,2.0,1.0,870.0,42.259562,-83.620379,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
1305 S Congress St,1300,2.0,1.0,800.0,42.238815,-83.635986,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
208 N Hamilton St,730,0.0,,300.0,42.244045,-83.617241,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
1305 S Congress St,1300,2.0,1.0,800.0,42.238815,-83.635986,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
542 Villa Dr,1015,1.0,1.0,645.0,42.2595402,-83.6207277,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
317 Ecorse Rd,700,,,380.0,42.236641,-83.596275,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
2372 Quarterback Ct,1600,2.0,1.0,1000.0,42.251906,-83.650773,Single Family,,,1,Westlawn,,,Ypsilanti,MI,,
125 N Normal St,1700,3.0,1.0,1113.0,42.243286,-83.623566,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
513 Pearl St,935,1.0,1.0,367.0,42.241814,-83.620293,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
813 E Michigan Ave,420,,,315.0,42.24258,-83.597137,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
